"","category","current","height","name","city","state","latitude","longitude","abandoned","is.completed","completed.year","air.traffic.control.tower","belltower","bridge","casino","commercial","education","exhibition","floors.above","government","hospital","hotel","industrial","library","museum","observation","office","other","rank","religious","residential","retail","serviced.apartments","telecommunications"
"1","All","completed",541.2999878,"One World Trade Center","New York City","New York",40.71311188,-74.01335144,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE
"2","All","completed",442.1400146,"Willis Tower","Chicago","Illinois",41.8788681,-87.63594818,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE
"3","All","completed",425.5,"432 Park Avenue","New York City","New York",40.76155853,-73.97186279,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,TRUE,FALSE,FALSE,FALSE
"4","All","completed",423.2200012,"Trump International Hotel & Tower","Chicago","Illinois",41.88887024,-87.6264267,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,TRUE,FALSE,FALSE,FALSE
"5","All","completed",381,"Empire State Building","New York City","New York",40.74842072,-73.98560333,FALSE,TRUE,1931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE
"6","All","completed",365.7999878,"Bank of America Tower","New York City","New York",40.75537872,-73.98435211,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,FALSE,FALSE
"7","All","completed",350.2200012,"Stratosphere Tower","Las Vegas","Nevada",36.1473999,-115.1554337,FALSE,TRUE,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE
"8","All","completed",346.2600098,"Aon Center","Chicago","Illinois",41.88515854,-87.62145233,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE
"9","All","completed",343.6900024,"John Hancock Center","Chicago","Illinois",41.8987999,-87.62306213,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24,FALSE,TRUE,FALSE,FALSE,FALSE
"10","All","completed",329,"WITI TV Tower","Shorewood","Wisconsin",43.0906105,-87.89720917,FALSE,TRUE,1962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,FALSE,FALSE,TRUE
"13","Atlanta","completed",311.7999878,"Bank of America Plaza","Atlanta","Georgia",33.7707901,-84.38601685,FALSE,TRUE,1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,35,FALSE,FALSE,FALSE,FALSE,FALSE
"35","Atlanta","completed",264.25,"SunTrust Plaza","Atlanta","Georgia",33.76269913,-84.38646698,FALSE,TRUE,1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,70,FALSE,FALSE,FALSE,FALSE,FALSE
"47","Atlanta","completed",249.9400024,"One Atlantic Center","Atlanta","Georgia",33.78701019,-84.38733673,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,88,FALSE,FALSE,FALSE,FALSE,FALSE
"69","Atlanta","completed",234.6999969,"191 Peachtree Tower","Atlanta","Georgia",33.75894165,-84.38668823,FALSE,TRUE,1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,114,FALSE,FALSE,FALSE,FALSE,FALSE
"107","Atlanta","completed",220.3699951,"Westin Peachtree Plaza","Atlanta","Georgia",33.75936127,-84.38857269,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,160,FALSE,FALSE,FALSE,FALSE,FALSE
"145","Atlanta","completed",206.3500061,"AT&T Building","Atlanta","Georgia",33.77273178,-84.38652039,FALSE,TRUE,1980,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,208,FALSE,FALSE,FALSE,FALSE,FALSE
"158","Atlanta","completed",202.6900024,"Sovereign","Atlanta","Georgia",33.84711075,-84.36846924,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,222,FALSE,TRUE,FALSE,FALSE,FALSE
"163","Atlanta","completed",200.1600037,"1180 Peachtree","Atlanta","Georgia",33.78686905,-84.3837204,FALSE,TRUE,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,228,FALSE,FALSE,FALSE,FALSE,FALSE
"289","Atlanta","completed",176.7899933,"The Mansion on Peachtree","Atlanta","Georgia",33.84944916,-84.36656952,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,386,FALSE,TRUE,FALSE,FALSE,FALSE
