current,height,name,city,state,latitude,longitude,abandoned,is completed,completed.year,air traffic control tower,belltower,bridge,casino,commercial,education,exhibition,floors above,government,hospital,hotel,industrial,library,museum,observation,office,other,rank,religious,residential,retail,serviced apartments,telecommunications
completed,94,EnV,Chicago,Illinois,41.88880157,-87.63372803,FALSE,TRUE,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1912,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94,RiverCenter I,Covington,Kentucky,39.09016037,-84.51036072,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1914,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94,Plymouth Towers Apartments,New York City,New York,40.78113937,-73.94656372,FALSE,TRUE,1977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1911,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94,201 Pearl Street,New York City,New York,40.70703125,-74.00669098,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1912,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.06128,Museum Tower at Centennial Hill,Atlanta,Georgia,33.7625885,-84.39176178,FALSE,TRUE,2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2386,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.18000031,1440 Broadway,New York City,New York,40.75442123,-73.98657227,FALSE,TRUE,1925,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1907,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.18000031,First Federal Plaza,Rochester,New York,43.156452,-77.611546,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1909,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.18000031,Society Hill Towers I,Philadelphia,Pennsylvania,39.94583893,-75.14463806,FALSE,TRUE,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1904,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.18000031,Society Hill Towers II,Philadelphia,Pennsylvania,39.94551086,-75.1450882,FALSE,TRUE,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1904,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.18000031,Society Hill Towers III,Philadelphia,Pennsylvania,39.94504929,-75.14450073,FALSE,TRUE,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1904,FALSE,TRUE,FALSE,FALSE,FALSE
