current,height,name,city,state,multi,main,latitude,longitude,abandoned,is.completed,completed.year,air.traffic.control.tower,belltower,bridge,casino,commercial,education,exhibition,floors.above,government,hospital,hotel,industrial,library,museum,observation,office,other,rank,religious,residential,retail,serviced.apartments,telecommunications
completed,541.2999878,One World Trade Center,New York City,New York,office,office,40.71311188,-74.01335144,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE
completed,442.1400146,Willis Tower,Chicago,Illinois,office,office,41.8788681,-87.63594818,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE
completed,425.5,432 Park Avenue,New York City,New York,residential,residential,40.76155853,-73.97186279,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,TRUE,FALSE,FALSE,FALSE
completed,423.2200012,Trump International Hotel & Tower,Chicago,Illinois,residential / hotel,residential,41.88887024,-87.6264267,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,TRUE,FALSE,FALSE,FALSE
completed,381,Empire State Building,New York City,New York,office,office,40.74842072,-73.98560333,FALSE,TRUE,1931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE
completed,365.7999878,Bank of America Tower,New York City,New York,office,office,40.75537872,-73.98435211,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,FALSE,FALSE
completed,350.2200012,Stratosphere Tower,Las Vegas,Nevada,hotel / casino,hotel,36.1473999,-115.1554337,FALSE,TRUE,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE
completed,346.2600098,Aon Center,Chicago,Illinois,office,office,41.88515854,-87.62145233,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE
completed,343.6900024,John Hancock Center,Chicago,Illinois,office,office,41.8987999,-87.62306213,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24,FALSE,TRUE,FALSE,FALSE,FALSE
completed,329,WITI TV Tower,Shorewood,Wisconsin,telecommunications,telecommunications,43.0906105,-87.89720917,FALSE,TRUE,1962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,FALSE,FALSE,TRUE
completed,318.8999939,Chrysler Building,New York City,New York,office,office,40.7516098,-73.97534943,FALSE,TRUE,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,32,FALSE,FALSE,FALSE,FALSE,FALSE
completed,318.769989,New York Times Tower,New York City,New York,office,office,40.75608826,-73.99004364,FALSE,TRUE,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,33,FALSE,FALSE,FALSE,FALSE,FALSE
completed,311.7999878,Bank of America Plaza,Atlanta,Georgia,office,office,33.7707901,-84.38601685,FALSE,TRUE,1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,35,FALSE,FALSE,FALSE,FALSE,FALSE
completed,310.2900085,U.S. Bank Tower,Los Angeles,California,office,office,34.05104065,-118.2543564,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38,FALSE,FALSE,FALSE,FALSE,FALSE
completed,306.9400024,The Franklin - North Tower,Chicago,Illinois,office,office,41.88034821,-87.63475037,FALSE,TRUE,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE
completed,306.0700073,One57,New York City,New York,residential / hotel,residential,40.76544189,-73.97907257,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,TRUE,FALSE,FALSE,FALSE
completed,305.4100037,JPMorgan Chase Tower,Houston,Texas,office,office,29.76041985,-95.36390686,FALSE,TRUE,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE
completed,303.2799988,Two Prudential Plaza,Chicago,Illinois,office,office,41.88536835,-87.62258148,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE
completed,302.3699951,Wells Fargo Plaza,Houston,Texas,office,office,29.75844955,-95.36826324,FALSE,TRUE,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,46,FALSE,FALSE,FALSE,FALSE,FALSE
completed,297.730011,4 World Trade Center,New York City,New York,office,office,40.71031952,-74.01217651,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE
completed,296.730011,Comcast Center,Philadelphia,Pennsylvania,office,office,39.95473862,-75.16847992,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE
completed,292.9200134,311 South Wacker Drive,Chicago,Illinois,office,office,41.87739182,-87.63555908,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,49,FALSE,FALSE,FALSE,FALSE,FALSE
completed,290.1700134,70 Pine,New York City,New York,office,office,40.70634079,-74.00766754,FALSE,TRUE,1932,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE
completed,288.6499939,Key Tower,Cleveland,Ohio,office,office,41.50099945,-81.69390869,FALSE,TRUE,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE
completed,288.0400085,One Liberty Place,Philadelphia,Pennsylvania,office,office,39.95256042,-75.1681366,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,53,FALSE,FALSE,FALSE,FALSE,FALSE
completed,284.3800049,Columbia Center,Seattle,Washington,office,office,47.60464096,-122.3305969,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE
completed,282.5499878,The Trump Building,New York City,New York,office,office,40.70692062,-74.00980377,FALSE,TRUE,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE
completed,280.7200012,Bank of America Plaza,Dallas,Texas,office,office,32.78004074,-96.80393982,FALSE,TRUE,1985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE
completed,278.8999939,Citigroup Center,New York City,New York,office,office,40.75857162,-73.97038269,FALSE,TRUE,1977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,58,FALSE,FALSE,FALSE,FALSE,FALSE
completed,274.6300049,Williams Tower,Houston,Texas,office,office,29.73719025,-95.46121216,FALSE,TRUE,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,FALSE,FALSE,FALSE,FALSE,FALSE
completed,270.0599976,Renaissance Tower,Dallas,Texas,office,office,32.78126144,-96.80191803,FALSE,TRUE,1986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE
completed,265.480011,Bank of America Corporate Center,Charlotte,North Carolina,office,office,35.22729111,-80.84208679,FALSE,TRUE,1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,66,FALSE,FALSE,FALSE,FALSE,FALSE
