category,current,height,name,city,state,multi,main,latitude,longitude,abandoned,is.completed,completed.year,air.traffic.control.tower,belltower,bridge,casino,commercial,education,exhibition,floors.above,government,hospital,hotel,industrial,library,museum,observation,office,other,rank,religious,residential,retail,serviced.apartments,telecommunications
All,completed,541.2999878,One World Trade Center,New York City,New York,office,office,40.71311188,-74.01335144,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE
All,completed,442.1400146,Willis Tower,Chicago,Illinois,office,office,41.8788681,-87.63594818,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE
All,completed,425.5,432 Park Avenue,New York City,New York,residential,residential,40.76155853,-73.97186279,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,TRUE,FALSE,FALSE,FALSE
All,completed,423.2200012,Trump International Hotel & Tower,Chicago,Illinois,residential / hotel,residential,41.88887024,-87.6264267,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,TRUE,FALSE,FALSE,FALSE
All,completed,381,Empire State Building,New York City,New York,office,office,40.74842072,-73.98560333,FALSE,TRUE,1931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE
All,completed,365.7999878,Bank of America Tower,New York City,New York,office,office,40.75537872,-73.98435211,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,FALSE,FALSE,FALSE,FALSE,FALSE
All,completed,350.2200012,Stratosphere Tower,Las Vegas,Nevada,hotel / casino,hotel,36.1473999,-115.1554337,FALSE,TRUE,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE
All,completed,346.2600098,Aon Center,Chicago,Illinois,office,office,41.88515854,-87.62145233,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE
All,completed,343.6900024,John Hancock Center,Chicago,Illinois,office,office,41.8987999,-87.62306213,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24,FALSE,TRUE,FALSE,FALSE,FALSE
All,completed,329,WITI TV Tower,Shorewood,Wisconsin,telecommunications,telecommunications,43.0906105,-87.89720917,FALSE,TRUE,1962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,FALSE,FALSE,TRUE
